2025-Jan-07-02:08:03, Preliminaries complete. Initiating ETL process.
2025-Jan-07-02:08:05, Data extraction complete. Initiating Transformation process.
2025-Jan-07-02:08:05, Data transformation complete. Initiating loading process.
2025-Jan-07-02:08:05, Data saved to CSV file.
2025-Jan-07-02:08:05, SQL Connection initiated.
2025-Jan-07-02:08:05, Data loaded to Database as table. Running the query
2025-Jan-07-02:08:43, Preliminaries complete. Initiating ETL process.
2025-Jan-07-02:08:44, Data extraction complete. Initiating Transformation process.
2025-Jan-07-02:08:44, Data transformation complete. Initiating loading process.
2025-Jan-07-02:08:44, Data saved to CSV file.
2025-Jan-07-02:08:44, SQL Connection initiated.
2025-Jan-07-02:08:45, Data loaded to Database as table. Running the query
2025-Jan-07-02:08:45, Process Complete.
